station_id,station_name,city,area,number_of_chargers,avg_utilization_rate,peak_utilization_rate,active_station_hours,total_sessions,utilization_classification
ST1001,Connaught Place Ev Hub 1001,Delhi,Connaught Place,6,0.05703211517165005,0.1111111111111111,301,309,LOW
ST1002,Connaught Place Ev Hub 1002,Delhi,Connaught Place,3,0.1177290142807384,0.3333333333333333,638,676,LOW
ST1003,Dwarka Ev Hub 1003,Delhi,Dwarka,3,0.1163104178702099,0.3333333333333333,577,604,LOW
ST1004,Dwarka Ev Hub 1004,Delhi,Dwarka,7,0.05046013217219443,0.14285714285714285,771,817,LOW
ST1005,Dwarka Ev Hub 1005,Delhi,Dwarka,2,0.1812426383981154,0.5,1132,1231,MODERATE
ST1006,Dwarka Ev Hub 1006,Delhi,Dwarka,5,0.07473426001635324,0.26666666666666666,1223,1371,LOW
ST1007,Rohini Ev Hub 1007,Delhi,Rohini,2,0.17228132387706854,0.5,564,583,MODERATE
ST1008,Rohini Ev Hub 1008,Delhi,Rohini,3,0.12073637977759087,0.3333333333333333,1189,1292,LOW
ST1009,Rohini Ev Hub 1009,Delhi,Rohini,5,0.07045341305430991,0.13333333333333333,669,707,LOW
ST1010,Saket Ev Hub 1010,Delhi,Saket,5,0.07379053694843168,0.2,1254,1388,LOW
ST1011,Saket Ev Hub 1011,Delhi,Saket,8,0.05230530187721968,0.20833333333333334,2628,3299,LOW
ST1012,Saket Ev Hub 1012,Delhi,Saket,2,0.1761744966442953,0.5,596,630,MODERATE
ST1013,Saket Ev Hub 1013,Delhi,Saket,5,0.07014652014652015,0.2,728,766,LOW
ST1014,Karol Bagh Ev Hub 1014,Delhi,Karol Bagh,4,0.08680039623576027,0.25,673,701,LOW
ST1015,Karol Bagh Ev Hub 1015,Delhi,Karol Bagh,7,0.05049712192569335,0.14285714285714285,728,772,LOW
ST1016,Andheri Ev Hub 1016,Mumbai,Andheri,7,0.0593311149963341,0.23809523809523808,2533,3156,LOW
ST1017,Andheri Ev Hub 1017,Mumbai,Andheri,2,0.17397186147186144,0.3333333333333333,616,643,MODERATE
ST1018,Andheri Ev Hub 1018,Mumbai,Andheri,4,0.09134745992936702,0.25,1227,1345,LOW
