session_id,date,start_time,end_time,station_id,station_name,city,area,latitude,longitude,charger_type,number_of_chargers,vehicle_type,energy_consumed_kwh,charging_duration_minutes,waiting_time_minutes,charging_cost,revenue,session_status,day_of_week,hour,month,peak_hour,weather_condition,is_synthetic
SESS132793,2024-12-03,2024-12-03 17:45:00,2024-12-03 17:52:40.855545336,ST1046,Electronic City EV Hub 1046,Bengaluru,Electronic City,12.89202,77.59644,DC Fast (50kW),4,2-Wheeler,1.58,7.7,11.2,24.46,24.46,Completed,1,17,12,False,Cloudy,True
SESS169345,2024-08-22,2024-08-22 22:46:00,2024-08-22 23:48:08.174606268,ST1013,Saket EV Hub 1013,Delhi,Saket,28.672,77.10803,AC Slow (3.3kW),5,2-Wheeler,2.78,62.1,2.1,24.13,24.13,Completed,3,22,8,False,Cloudy,True
SESS128209,2024-12-08,2024-12-08 01:19:00,2024-12-08 01:40:15.923864063,ST1052,Hinjewadi EV Hub 1052,Pune,Hinjewadi,18.51064,73.79296,DC Fast (50kW),5,Car - Hatchback/Sedan,8.48,21.3,17.3,134.03,134.03,Completed,6,1,12,False,Cloudy,True
SESS108139,2024-11-22,2024-11-22 21:16:00,2024-11-22 23:31:07.401918102,ST1067,Gachibowli EV Hub 1067,Hyderabad,Gachibowli,17.32183,78.46663,AC Fast (7.4kW),4,Car - Hatchback/Sedan,13.83,135.1,7.2,152.84,152.84,Completed,4,21,11,False,Clear,True
SESS153541,2024-10-25,2024-10-25 12:02:00,2024-10-25 12:17:13.810739808,ST1005,Dwarka EV Hub 1005,Delhi,Dwarka,28.68725,77.19973,DC Fast (50kW),2,3-Wheeler,4.13,15.2,6.9,61.53,61.53,Completed,4,12,10,False,Clear,True
SESS161320,2024-01-04,2024-01-04 13:13:00,2024-01-04 15:31:48.345318930,ST1061,Baner EV Hub 1061,Pune,Baner,18.45366,73.92817,AC Fast (7.4kW),5,Car - Hatchback/Sedan,,138.8,3.8,124.21,124.21,Completed,3,13,1,False,Clear,True
SESS184864,2024-07-09,2024-07-09 10:44:00,2024-07-09 11:14:26.266018770,ST1008,Rohini EV Hub 1008,Delhi,Rohini,28.60706,77.15859,AC Fast (7.4kW),3,2-Wheeler,2.44,30.4,6.8,24.56,24.56,Completed,1,10,7,False,Hot,True
SESS147816,2024-10-24,2024-10-24 08:31:00,2024-10-24 08:50:52.226409894,ST1035,Whitefield EV Hub 1035,Bengaluru,Whitefield,12.91369,77.55109,DC Ultra-Fast (150kW),1,Car - Hatchback/Sedan,19.03,19.9,10.0,399.69,399.69,Completed,3,8,10,True,Clear,True
SESS181776,2024-11-02,2024-11-02 00:24:00,2024-11-02 00:27:00.000000000,ST1002,Connaught Place EV Hub 1002,Delhi,Connaught Place,28.61289,77.15782,DC Ultra-Fast (150kW),3,2-Wheeler,1.65,3.0,1.2,30.38,30.38,Completed,5,0,11,False,Rain,True
SESS143187,2024-01-21,2024-01-21 22:10:00,2024-01-21 22:41:41.072933922,ST1011,Saket EV Hub 1011,Delhi,Saket,28.63125,77.24688,AC Slow (3.3kW),8,2-Wheeler,1.29,31.7,1.9,12.14,12.14,Completed,6,22,1,False,Clear,True
SESS144165,2024-10-31,2024-10-31 15:33:00,2024-10-31 17:47:14.761208910,ST1045,Electronic City EV Hub 1045,Bengaluru,Electronic City,12.89847,77.54191,AC Slow (3.3kW),5,3-Wheeler,5.89,134.2,1.8,44.63,44.63,Completed,3,15,10,False,Cloudy,True
SESS143473,2024-12-03,2024-12-03 06:44:00,2024-12-03 07:19:11.823417630,ST1030,Thane EV Hub 1030,Mumbai,Thane,19.1958,73.05253,AC Fast (7.4kW),5,3-Wheeler,3.52,35.2,3.0,,38.62,Completed,1,6,12,False,Hot,True
SESS172515,2024-07-31,2024-07-31 23:13:00,2024-07-31 23:54:41.571241572,ST1049,Jayanagar EV Hub 1049,Bengaluru,Jayanagar,12.90654,77.60003,DC Fast (50kW),5,Car - Hatchback/Sedan,17.57,41.7,6.0,,260.04,Completed,2,23,7,False,Rain,True
SESS145409,2024-12-31,2024-12-31 20:21:00,2024-12-31 20:39:40.440880878,ST1060,Viman Nagar EV Hub 1060,Pune,Viman Nagar,18.51456,73.98229,DC Fast (50kW),3,3-Wheeler,5.87,18.7,11.7,,87.23,Completed,1,20,12,True,Cloudy,True
